Description,Co-ordinates,lat,lon,region,distance_from_cbd,has_leaf_type,has_stainless_steel,has_historic,has_bottle_refill,has_dog_bowl,has_accessible,has_park_location,has_street_location,feature_count,feature_diversity,description_length,location_name
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bellair Street Reserve,"-37.795526766864704, 144.93075415955866",-37.795526766864704,144.93075415955866,North,3.48056823527783,1,1,0,0,0,0,1,1,4,4,90,Bellair Street Reserve
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.800491981075275, 144.96374391208968",-37.80049198107528,144.96374391208968,North,1.458642563352859,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,"-37.82022017744959, 144.94480746086566",-37.82022017744959,144.94480746086566,West,1.767431065198742,0,1,0,0,0,0,0,0,1,1,70,Northbank Type
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Kings Domain South,"-37.828809493040296, 144.97413127261856",-37.828809493040296,144.97413127261856,Central,1.9491203508929114,1,1,0,0,0,0,0,0,2,2,86,Kings Domain South
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Shrine of Remembrance Reserve,"-37.83081555124981, 144.97427512305256",-37.83081555124981,144.97427512305256,South,2.151265857767608,1,0,0,1,0,0,1,0,3,3,86,Shrine of Remembrance Reserve
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"-37.819668916851825, 144.9417577515994",-37.81966891685183,144.9417577515994,North,1.992492425160302,0,1,0,0,0,0,0,0,1,1,74,Old Docklands Type
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.805018324001324, 144.94911036775298",-37.80501832400133,144.94911036775298,North,1.5559535617179836,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.80725891583743, 144.94696422855037",-37.80725891583743,144.94696422855037,North,1.5831902200305672,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Drinking Fountain - Type 1,"-37.806116903955164, 144.9571333967204",-37.80611690395517,144.9571333967204,North,0.9834164711237794,0,0,0,0,0,0,0,0,0,0,46,Type 1
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.81047950700537, 144.96434622822136",-37.81047950700537,144.96434622822136,North,0.36384402257917237,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.81232314728076, 144.98893301349375",-37.81232314728076,144.98893301349375,North,2.273759077386666,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.813705889407565, 144.9749027278744",-37.813705889407565,144.9749027278744,North,1.0368773217609786,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Eastwood and Rankins Park,"-37.79407412774661, 144.93082898880024",-37.79407412774661,144.93082898880024,North,3.5710649725961674,1,1,0,0,0,0,1,0,3,3,93,Eastwood and Rankins Park
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.807863918393416, 144.96107434937468",-37.807863918393416,144.96107434937468,North,0.6621817776928233,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking Fountain - Leaf Type - Dog Bowl - Fawkner Park,"-37.839918521598555, 144.9812959600913",-37.83991852159856,144.9812959600913,South,3.3344223342101085,1,0,0,0,1,0,1,0,3,3,55,Fawkner Park
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.815558943545426, 144.93989772357784",-37.81555894354543,144.93989772357784,North,2.049784717720952,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking Fountain - Leaf Type - Dog Bowl  - Royal Park,"-37.78413055442304, 144.9561695135437",-37.78413055442304,144.9561695135437,North,3.332950757201605,1,0,0,0,1,0,1,0,3,3,54,Royal Park
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Royal Park,"-37.781971287851476, 144.95606844481355",-37.78197128785148,144.95606844481355,North,3.5708058894786956,1,0,0,1,0,0,1,0,3,3,67,Royal Park
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Powlett Reserve,"-37.81108547106561, 144.986823716213",-37.81108547106561,144.986823716213,North,2.1027190923503,1,1,0,0,0,0,1,0,3,3,83,Powlett Reserve
Drinking Fountain - Treated Timber Drinking Fountain - Ievers Reserve,"-37.79634473440512, 144.95295625926101",-37.79634473440512,144.952956259261,North,2.1155629223751395,0,0,0,0,0,0,1,0,1,1,69,Ievers Reserve
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.81262231879966, 144.95695726799045",-37.81262231879966,144.95695726799045,North,0.550454221578221,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Leaf Type - Dog Bowl  - Royal Park,"-37.78972452756684, 144.95542692736785",-37.78972452756684,144.95542692736785,North,2.739089001761168,1,0,0,0,1,0,1,0,3,3,54,Royal Park
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Royal Park,"-37.78615201108828, 144.95349293828525",-37.78615201108828,144.95349293828525,North,3.16664839021303,1,1,0,0,0,0,1,0,3,3,78,Royal Park
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.81992693832316, 144.94314585668042",-37.81992693832316,144.94314585668042,North,1.8887150689767183,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking fountain - unspecified type - Alexandra Park,"-37.827924925554626, 144.98354503295144",-37.82792492555463,144.98354503295144,East,2.4004524114662424,0,0,0,0,0,0,1,0,1,1,53,Alexandra Park
Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,"-37.82340947086067, 144.94065316721642",-37.82340947086067,144.94065316721642,West,2.253311662072864,0,1,0,0,0,0,0,0,1,1,70,Northbank Type
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Fawkner Park,"-37.83912302483119, 144.98029597307354",-37.83912302483119,144.98029597307354,South,3.2148849902518215,1,1,0,0,0,0,1,0,3,3,80,Fawkner Park
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Kings Domain South,"-37.829394894475676, 144.97402641133465",-37.82939489447568,144.97402641133465,Central,2.0014272424472495,1,1,0,0,0,0,0,0,2,2,86,Kings Domain South
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.807299202453336, 144.9638063589646",-37.807299202453336,144.9638063589646,North,0.7033593234987224,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.81775113289117, 144.9668727624917",-37.81775113289117,144.9668727624917,North,0.5682364706668375,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Princes Park,"-37.78516928275589, 144.9629960270774",-37.78516928275589,144.9629960270774,North,3.1613647173363844,1,1,0,0,0,0,1,0,3,3,80,Princes Park
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.812116364293914, 144.96242655579448",-37.81211636429392,144.96242655579448,North,0.17525934917690775,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.797011044237784, 144.96719442537855",-37.79701104423778,144.96719442537855,North,1.879354358919688,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.817347815583766, 144.9877967436974",-37.817347815583766,144.9877967436974,North,2.2090957563136984,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Hawke and Adderley Street Park,"-37.80873006707316, 144.945010465895",-37.80873006707316,144.945010465895,North,1.6788580039556744,1,1,0,0,0,0,1,1,4,4,98,Hawke and Adderley Street Park
Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,"-37.82050899334054, 144.94485852337164",-37.82050899334054,144.94485852337164,West,1.7769977128102914,0,1,0,0,0,0,0,0,1,1,70,Northbank Type
Drinking Fountain - Treated Timber Drinking Fountain - Batman Park,"-37.82220232720067, 144.956603131736",-37.82220232720067,144.956603131736,Central,1.1138403077422645,0,0,0,0,0,0,1,0,1,1,66,Batman Park
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.817906690815356, 144.96632571147111",-37.81790669081536,144.96632571147111,North,0.5564332079178194,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.807115639803214, 144.95593164435638",-37.807115639803214,144.95593164435638,North,0.9573107984311335,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.83463602099828, 144.97488441712127",-37.83463602099828,144.97488441712127,South,2.5578746049010035,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.818037935423334, 144.9566252834487",-37.81803793542333,144.9566252834487,North,0.7529942728244292,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Ron Barassi Senior Park,"-37.81714667057808, 144.93410355599931",-37.81714667057808,144.93410355599931,North,2.577482276229747,1,1,0,0,0,0,1,0,3,3,91,Ron Barassi Senior Park
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.814286786699014, 144.94481901237222",-37.81428678669901,144.94481901237222,North,1.6077015642051473,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"-37.813427946638626, 144.94277418583766",-37.81342794663863,144.94277418583766,North,1.785626714534105,0,1,0,0,0,0,0,0,1,1,74,Old Docklands Type
Drinking Fountain - Drinking Fountain - Type 2 - Stock Route Reserve (KENSINGTON),"-37.78858107833513, 144.9262313297776",-37.78858107833513,144.9262313297776,North,4.269932517441414,0,0,0,0,0,0,1,0,1,1,81,Stock Route Reserve (KENSINGTON)
Drinking Fountain - Drinking Fountain - Type 1,"-37.8060370483463, 144.95639004511094",-37.8060370483463,144.95639004511094,North,1.0269798448149925,0,0,0,0,0,0,0,0,0,0,46,Type 1
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,"-37.81030304680633, 144.9786636062916",-37.81030304680633,144.9786636062916,North,1.4155137608558552,1,0,0,1,0,0,1,0,3,3,72,Fitzroy Gardens
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.82039536598253, 144.94148537021343",-37.82039536598253,144.94148537021343,West,2.043482753773795,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking Fountain - Leaf Type - Dog Bowl  - Princes Park,"-37.778630360270995, 144.96168045209797",-37.778630360271,144.96168045209797,North,3.890446489892466,1,0,0,0,1,0,1,0,3,3,56,Princes Park
Drinking Fountain - Treated Timber Drinking Fountain - Stock Bridge (KENSINGTON),"-37.79016688522425, 144.92406824328089",-37.79016688522425,144.92406824328089,North,4.306902797776518,0,0,0,0,0,0,0,0,0,0,80,Stock Bridge (KENSINGTON)
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.82186723614085, 144.9572554993872",-37.82186723614085,144.9572554993872,Central,1.0529134673900418,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.81437281760768, 144.9443629296941",-37.81437281760768,144.9443629296941,North,1.6481919674873875,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.830658429920206, 144.97605393970306",-37.830658429920206,144.97605393970306,South,2.21189928795569,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Pleasance Gardens,"-37.79639356481317, 144.9464489931069",-37.79639356481317,144.9464489931069,North,2.408445631166993,1,0,0,1,0,0,1,0,3,3,74,Pleasance Gardens
